PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal,OFC_PP,OFC_PR,OFC_OR,OFC_TW,MC_PP,MC_PR,MC_OR,MC_TW,SC|TAVE|TAMS_PP,SC|TAVE|TAMS_PR,SC|TAVE|TAMS_OR,SC|TAVE|TAMS_TW,VDT_PP,VDT_PR,VDT_OR,VDT_TW,AI|N_PP,AI|N_PR,AI|N_OR,AI|N_TW,DIP|ESAR_PP,DIP|ESAR_PR,DIP|ESAR_OR,DIP|ESAR_TW,PI_PP,PI_PR,PI_OR,PI_TW,CN_PP,CN_PR,CN_OR,CN_TW,TSS_PP,TSS_PR,TSS_OR,TSS_TW,PP_PP,PP_PR,PP_OR,PP_TW,EPD_PP,EPD_PR,EPD_OR,EPD_TW
12345678Z,COLNAME,ET,999,0,999,74,37,0,22,42,0,0,0,51,30,0,15,49,38,0,0,50,0,0,0,48,43,0,23,0,0,46,95,70,0,41,0,70,0,42,0,0,0,0,38,53,0,0,22
12345678Z,COLNAME,ET,810,0,810,40,28,0,19,43,0,0,0,40,25,0,15,41,21,0,0,53,0,0,0,46,28,0,19,0,0,41,90,47,0,38,0,48,0,36,0,0,0,0,32,40,0,0,20
12345678Z,COLNAME,ET,839,0,839,43,37,0,22,41,0,0,0,40,27,0,20,40,22,0,0,40,0,0,0,62,22,0,20,0,0,47,95,44,0,37,0,40,0,40,0,0,0,0,37,40,0,0,23
12345678Z,COLNAME,ET,1020,0,1020,84,38,0,22,42,0,0,0,61,29,0,22,59,40,0,0,49,0,0,0,53,41,0,23,0,0,46,96,62,0,41,0,59,0,41,0,0,0,0,39,51,0,0,22
12345678Z,COLNAME,ET,992,0,992,51,35,0,21,53,0,0,0,61,43,0,23,43,39,0,0,70,0,0,0,58,35,0,20,0,0,42,95,54,0,36,0,62,0,39,0,0,0,0,41,50,0,0,21
12345678Z,COLNAME,ET,890,10,900,42,34,0,22,40,0,0,0,40,28,0,18,42,38,0,0,62,0,0,0,51,38,0,21,0,0,45,95,42,0,42,0,51,0,38,0,0,0,0,36,43,0,0,22
12345678Z,COLNAME,ET,878,0,878,44,32,0,20,40,0,0,0,48,36,0,21,40,31,0,0,52,0,0,0,49,32,0,19,0,0,42,92,44,0,35,0,59,0,37,0,0,0,0,35,49,0,0,21
12345678Z,COLNAME,ET,804,0,804,64,28,0,19,40,0,0,0,42,23,0,15,41,22,0,0,47,0,0,0,40,32,0,18,0,0,39,91,45,0,31,0,42,0,33,0,0,0,0,32,40,0,0,20
12345678Z,COLNAME,ET,991,0,991,61,33,0,20,56,0,0,0,51,37,0,22,44,32,0,0,78,0,0,0,56,38,0,21,0,0,45,94,54,0,35,0,68,0,38,0,0,0,0,32,54,0,0,22
12345678Z,COLNAME,ET,869,0,869,40,34,0,20,43,0,0,0,45,39,0,22,40,24,0,0,62,0,0,0,40,35,0,21,0,0,45,93,45,0,39,0,44,0,39,0,0,0,0,36,43,0,0,20
12345678Z,COLNAME,ET,912,0,912,60,34,0,21,50,0,0,0,51,38,0,17,43,30,0,0,45,0,0,0,43,36,0,22,0,0,45,95,56,0,38,0,50,0,36,0,0,0,0,40,40,0,0,22
12345678Z,COLNAME,ET,879,0,879,42,35,0,21,44,0,0,0,40,29,0,18,40,35,0,0,42,0,0,0,47,32,0,20,0,0,46,95,61,0,36,0,47,0,34,0,0,0,0,42,52,0,0,21
12345678Z,COLNAME,ET,869,0,869,40,34,0,21,42,0,0,0,41,24,0,19,49,35,0,0,53,0,0,0,53,35,0,21,0,0,43,93,42,0,30,0,55,0,35,0,0,0,0,37,46,0,0,21
12345678Z,COLNAME,ET,943,0,943,55,35,0,21,48,0,0,0,61,32,0,19,62,32,0,0,53,0,0,0,48,26,0,19,0,0,46,95,52,0,39,0,50,0,39,0,0,0,0,40,49,0,0,22
12345678Z,COLNAME,ET,988,0,988,55,38,0,22,46,0,0,0,67,29,0,23,51,42,0,0,58,0,0,0,57,41,0,23,0,0,45,94,64,0,37,0,56,0,40,0,0,0,0,32,48,0,0,20
12345678Z,COLNAME,ET,921,0,921,40,38,0,22,54,0,0,0,55,40,0,22,40,32,0,0,65,0,0,0,40,33,0,21,0,0,43,93,53,0,36,0,50,0,37,0,0,0,0,43,42,0,0,22
12345678Z,COLNAME,ET,946,0,946,49,42,0,23,46,0,0,0,63,42,0,24,43,38,0,0,46,0,0,0,41,38,0,22,0,0,46,96,50,0,39,0,54,0,40,0,0,0,0,42,40,0,0,22
12345678Z,COLNAME,ET,983,0,983,43,39,0,22,50,0,0,0,62,42,0,23,48,30,0,0,72,0,0,0,49,38,0,20,0,0,44,95,67,0,33,0,54,0,42,0,0,0,0,33,55,0,0,22
12345678Z,COLNAME,ET,1008,0,1008,59,43,0,23,58,0,0,0,62,44,0,24,40,40,0,0,44,0,0,0,54,43,0,23,0,0,47,97,54,0,45,0,45,0,45,0,0,0,0,44,50,0,0,24
12345678Z,COLNAME,ET,911,0,911,40,39,0,22,46,0,0,0,58,42,0,23,40,34,0,0,42,0,0,0,46,40,0,22,0,0,44,94,46,0,34,0,49,0,41,0,0,0,0,42,46,0,0,21
12345678Z,COLNAME,ET,867,0,867,40,35,0,22,44,0,0,0,54,38,0,21,41,24,0,0,64,0,0,0,43,20,0,17,0,0,40,93,49,0,34,0,53,0,36,0,0,0,0,35,44,0,0,20
12345678Z,COLNAME,ET,753,0,753,47,32,0,21,40,0,0,0,41,42,0,23,24,25,0,0,30,0,0,0,40,22,0,19,0,0,40,90,31,0,35,0,51,0,33,0,0,0,0,41,6,0,0,20
12345678Z,COLNAME,ET,884,0,884,59,34,0,21,43,0,0,0,56,40,0,18,40,22,0,0,47,0,0,0,46,32,0,18,0,0,45,92,56,0,37,0,40,0,35,0,0,0,0,38,44,0,0,21
12345678Z,COLNAME,ET,943,0,943,48,35,0,22,46,0,0,0,48,39,0,22,46,25,0,0,67,0,0,0,60,30,0,20,0,0,47,96,56,0,36,0,50,0,37,0,0,0,0,41,51,0,0,21
12345678Z,COLNAME,ET,909,0,909,49,38,0,22,46,0,0,0,49,39,0,22,40,38,0,0,51,0,0,0,43,40,0,23,0,0,43,97,40,0,41,0,44,0,40,0,0,0,0,40,43,0,0,21
12345678Z,COLNAME,ET,956,0,956,55,38,0,22,66,0,0,0,59,39,0,19,47,39,0,0,40,0,0,0,46,34,0,21,0,0,46,96,57,0,38,0,57,0,36,0,0,0,0,39,40,0,0,22
12345678Z,COLNAME,ET,899,1,900,50,30,0,20,46,0,0,0,47,40,0,22,46,34,0,0,40,0,0,0,48,33,0,23,0,0,45,96,44,0,39,0,54,0,35,0,0,0,0,40,45,0,0,22
12345678Z,COLNAME,ET,848,0,848,40,32,0,20,40,0,0,0,40,41,0,22,40,24,0,0,53,0,0,0,53,25,0,19,0,0,42,92,47,0,35,0,40,0,39,0,0,0,0,43,40,0,0,21
12345678Z,COLNAME,ET,997,0,997,58,39,0,22,63,0,0,0,58,42,0,23,44,40,0,0,62,0,0,0,40,41,0,23,0,0,47,96,52,0,38,0,60,0,40,0,0,0,0,42,45,0,0,22
12345678Z,COLNAME,ET,1022,0,1022,55,34,0,21,63,0,0,0,70,32,0,19,44,34,0,0,75,0,0,0,62,30,0,20,0,0,44,94,65,0,40,0,68,0,38,0,0,0,0,42,50,0,0,22
12345678Z,COLNAME,ET,976,0,976,56,29,0,20,54,0,0,0,63,42,0,23,45,30,0,0,74,0,0,0,54,30,0,20,0,0,44,94,57,0,35,0,61,0,36,0,0,0,0,32,55,0,0,22
12345678Z,COLNAME,ET,929,0,929,49,32,0,21,44,0,0,0,66,41,0,22,49,37,0,0,47,0,0,0,47,35,0,23,0,0,47,97,43,0,41,0,43,0,42,0,0,0,0,41,40,0,0,22
12345678Z,COLNAME,ET,900,0,900,48,42,0,23,40,0,0,0,44,40,0,22,40,36,0,0,52,0,0,0,44,30,0,20,0,0,44,94,50,0,40,0,46,0,40,0,0,0,0,43,40,0,0,22
12345678Z,COLNAME,ET,1076,0,1076,67,42,0,23,56,0,0,0,66,39,0,19,49,41,0,0,71,0,0,0,62,38,0,23,0,0,46,97,67,0,41,0,69,0,43,0,0,0,0,40,53,0,0,24
12345678Z,COLNAME,ET,893,7,900,56,33,0,21,50,0,0,0,40,38,0,22,40,36,0,0,61,0,0,0,43,32,0,20,0,0,43,93,41,0,39,0,44,0,39,0,0,0,0,35,46,0,0,21
