PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal,CM_PP,CM_PR,CM_OR,CM_TW,TMICE|ACT_PP,TMICE|ACT_PR,TMICE|ACT_OR,TMICE|ACT_TW,EEI_PP,EEI_PR,EEI_OR,EEI_TW,QST_PP,QST_PR,QST_OR,QST_TW,SAICE|AATP_PP,SAICE|AATP_PR,SAICE|AATP_OR,SAICE|AATP_TW,TEI_PP,TEI_PR,TEI_OR,TEI_TW,PW_PP,PW_PR,PW_OR,PW_TW,ATE|G_PP,ATE|G_PR,ATE|G_OR,ATE|G_TW,SDI_PP,SDI_PR,SDI_OR,SDI_TW,DAHS_PP,DAHS_PR,DAHS_OR,DAHS_TW
12345678Z,COLNAME,CIVI,986,0,986,69,0,0,23,51,0,0,0,61,0,38,23,67,0,42,41,45,0,0,20,58,0,38,21,0,0,42,95,55,0,0,0,45,0,36,21,41,0,34,20
12345678Z,COLNAME,CIVI,971,0,971,68,0,0,22,57,0,0,0,62,0,35,21,66,0,40,35,40,0,0,17,60,0,35,19,0,0,44,87,62,0,0,0,45,0,38,19,52,0,28,19
12345678Z,COLNAME,CIVI,935,0,935,71,0,0,19,48,0,0,0,57,0,30,21,57,0,31,30,47,0,0,17,64,0,32,15,0,0,44,85,56,0,0,0,59,0,35,18,51,0,28,20
12345678Z,COLNAME,CIVI,785,0,785,62,0,0,17,41,0,0,0,55,0,32,18,51,0,22,24,26,0,0,17,49,0,28,12,0,0,44,84,51,0,0,0,42,0,23,12,42,0,21,12
12345678Z,COLNAME,CIVI,964,0,964,69,0,0,20,45,0,0,0,52,0,32,22,70,0,38,32,53,0,0,19,63,0,39,17,0,0,43,86,55,0,0,0,44,0,39,20,53,0,32,21
12345678Z,COLNAME,CIVI,1007,0,1007,58,0,0,22,43,0,0,0,56,0,38,23,70,0,39,42,52,0,0,23,67,0,40,22,0,0,42,88,68,0,0,0,47,0,40,21,52,0,32,22
12345678Z,COLNAME,CIVI,946,0,946,57,0,0,21,41,0,0,0,55,0,35,23,64,0,40,39,40,0,0,19,68,0,36,20,0,0,45,90,56,0,0,0,45,0,36,17,50,0,28,21
12345678Z,COLNAME,CIVI,913,0,913,58,0,0,21,49,0,0,0,50,0,30,22,68,0,32,28,45,0,0,18,55,0,38,19,0,0,30,95,51,0,0,0,54,0,37,21,42,0,29,21
12345678Z,COLNAME,CIVI,921,0,921,43,0,0,20,40,0,0,0,49,0,30,21,66,0,35,29,53,0,0,18,66,0,36,18,0,0,44,87,51,0,0,0,57,0,39,19,49,0,30,21
12345678Z,COLNAME,CIVI,1025,0,1025,50,0,0,21,55,0,0,0,62,0,38,23,71,0,41,37,55,0,0,18,73,0,38,17,0,0,42,92,62,0,0,0,59,0,41,20,51,0,38,21
12345678Z,COLNAME,CIVI,1017,0,1017,51,0,0,21,59,0,0,0,65,0,35,22,62,0,41,40,60,0,0,17,64,0,36,18,0,0,44,90,75,0,0,0,52,0,37,20,56,0,32,20
12345678Z,COLNAME,CIVI,1003,0,1003,45,0,0,21,44,0,0,0,62,0,38,22,70,0,40,39,66,0,0,17,59,0,40,20,0,0,43,86,65,0,0,0,52,0,41,22,57,0,33,21
12345678Z,COLNAME,CIVI,892,8,900,48,0,0,21,57,0,0,0,40,0,28,22,65,0,23,22,57,0,0,15,63,0,36,16,0,0,42,88,67,0,0,0,40,0,28,16,43,0,35,20
12345678Z,COLNAME,CIVI,903,0,903,61,0,0,20,51,0,0,0,48,0,32,22,61,0,25,23,50,0,0,16,63,0,34,18,0,0,44,85,53,0,0,0,40,0,35,20,46,0,36,20
12345678Z,COLNAME,CIVI,1020,0,1020,43,0,0,20,62,0,0,0,53,0,33,22,70,0,40,43,61,0,0,17,57,0,42,22,0,0,45,92,68,0,0,0,48,0,38,19,62,0,41,22
12345678Z,COLNAME,CIVI,860,0,860,40,0,0,21,40,0,0,0,47,0,30,22,64,0,30,29,42,0,0,18,56,0,38,19,0,0,42,94,43,0,0,0,40,0,37,16,41,0,30,21
12345678Z,COLNAME,CIVI,915,0,915,62,0,0,22,41,0,0,0,55,0,22,20,67,0,22,36,69,0,0,22,47,0,39,21,0,0,43,93,69,0,0,0,11,0,34,17,46,0,38,19
12345678Z,COLNAME,CIVI,981,0,981,48,0,0,20,53,0,0,0,51,0,42,23,67,0,37,41,45,0,0,17,62,0,40,21,0,0,45,90,59,0,0,0,48,0,40,19,57,0,35,21
12345678Z,COLNAME,CIVI,880,0,880,49,0,0,19,42,0,0,0,45,0,27,16,58,0,39,38,45,0,0,21,43,0,37,18,0,0,42,85,70,0,0,0,42,0,34,15,42,0,35,18
